listing_id,date,num_reviews,reviewers
552639,2025-07-01,5,"22397202,16138555,526276236,454872829,53302369"
552639,2026-01-01,5,"80422380,4587312,180031180,352394596,736921"
552639,2025-04-01,2,"479543463,71505765"
552639,2025-08-01,3,"435715142,286405730,466731766"
552639,2025-06-01,5,"33248497,439824762,400364828,46050790,670485416"
552639,2025-12-01,3,"72210665,204198388,12486595"
552639,2025-10-01,3,"3624382,33029603,536487555"
552639,2026-02-01,3,"581191665,72077746,70800275"
1294973,2026-03-01,2,"424229641,169933983"
1294973,2026-01-01,2,"135300121,6691226"
1294973,2025-11-01,2,"16334876,721733269"
1294973,2025-09-01,2,"399136281,122125029"
1294973,2025-07-01,2,"368827982,696921882"
1294973,2025-05-01,3,"7056801,45811369,71577815"
1294973,2025-06-01,3,"182782954,7868746,68248903"
1294973,2025-04-01,4,"40705372,8802299,262272796,5758535"
1294973,2025-10-01,3,"556712357,17886269,12613510"
1294973,2025-08-01,4,"30710194,284933626,567146688,448218306"
1294973,2026-02-01,1,38333746
684991,2025-12-01,1,319416173
684991,2025-05-01,1,273776847
39282,2025-11-01,1,1238814
39282,2025-10-01,1,136214616
39282,2026-02-01,1,501634669
39282,2025-09-01,1,6879735
39282,2025-05-01,2,"373130312,248226835"
39282,2025-12-01,2,"124116508,36712638"
39282,2025-08-01,1,61599075
39282,2025-04-01,3,"5744596,351206065,146200906"
15385,2025-07-01,1,109842497
15385,2025-06-01,1,286728911
15385,2025-04-01,1,12845531
523123,2025-08-01,1,9271473
939657,2025-04-01,1,474797632
736187,2026-01-01,1,496129984
736187,2025-09-01,1,399810483
736187,2025-05-01,1,137264867
1205103,2025-07-01,1,73614189
1205103,2025-10-01,1,579285800
294263,2025-09-01,1,128219935
216080,2025-06-01,1,307596359
645693,2026-03-01,1,450512448
645693,2025-07-01,1,504123377
645693,2025-12-01,1,1264178
1023529,2025-06-01,1,667549231
253800,2025-11-01,1,8241511
253800,2025-09-01,1,29075269
253800,2025-05-01,1,55452080
1080543,2025-06-01,1,50929273
16580,2025-07-01,5,"583181230,121309762,401007019,656209018,2703242"
16580,2025-10-01,5,"13695996,677411900,676999629,544006933,685460256"
16580,2025-06-01,5,"402780846,41852417,10076787,92650805,436532449"
16580,2026-01-01,5,"123528893,705690162,590477562,241364787,510166249"
16580,2025-09-01,4,"594168396,581449024,15112838,2048274"
16580,2025-05-01,6,"85764836,7819747,238330558,252279941,683437582,138245467"
16580,2025-12-01,5,"421866509,107645318,658689869,476852058,461557293"
16580,2025-08-01,4,"206287738,175134391,6388144,548736798"
16580,2025-04-01,6,"69814183,241713503,237878342,33942506,245940741,129343666"
1131804,2025-11-01,1,37354956
1131804,2025-07-01,1,37793664
1131804,2025-04-01,1,15715367
62925,2025-11-01,1,42790421
301034,2025-11-01,1,461549714
301034,2025-08-01,1,542300539
301034,2025-07-01,1,92539818
301034,2025-06-01,1,6787542
425423,2025-07-01,1,142439977
425423,2025-04-01,1,675631619
302238,2025-07-01,1,690594336
302238,2026-02-01,1,6840407
310524,2026-01-01,1,406223513
310524,2025-11-01,4,"18154544,568465828,116622154,724195541"
310524,2025-09-01,2,"182315373,37428700"
310524,2025-07-01,3,"77929028,399814770,295369709"
310524,2025-05-01,2,"233308257,55632312"
310524,2025-12-01,3,"120616652,700018299,111068796"
310524,2025-10-01,6,"330389171,34692946,37851306,209059639,98991692,375790497"
310524,2025-08-01,5,"24319153,40830101,533177594,8403694,22886786"
310524,2025-06-01,3,"80788714,86740825,478489933"
310524,2025-04-01,4,"585126314,33503234,42728838,22253164"
816888,2025-07-01,1,541167533
816888,2025-10-01,1,17427193
816888,2025-08-01,1,585972245
816888,2026-01-01,1,685749751
34760,2025-11-01,1,409934838
34760,2025-10-01,1,46905731
34760,2025-07-01,1,499575913
16821,2025-11-01,6,"20373917,726838820,80230621,182654065,495545674,9168879"
16821,2025-07-01,7,"475108852,73013550,177846982,93187098,472407522,562127556,663990480"
16821,2026-03-01,1,119180899
16821,2025-06-01,2,"480267444,49337681"
16821,2025-10-01,6,"182654065,2339152,156355275,561747749,151431874,3667786"
